,Country,Year,Region,Democracy Index,energy_cons,rail_cargo,urban_per,service_per,GDP
240,Uzbekistan,2016,Central and Eastern Europe,1.95,45.406223,22937.0,50.65,39.0199518935618,86138288633.2241
241,Argentina,2016,Latin America and the Caribbean,6.96,128.457123,8529.0,91.627,56.1222358547004,557532317363.451
242,Chile,2016,Latin America and the Caribbean,7.78,73.852143,4076.755917,87.422,58.9826363325677,249298706449.182
243,Mexico,2016,Latin America and the Caribbean,6.47,263.298089,84683.0,79.577,60.7620854448008,1078493059306.95
244,Australia,2016,Asia and Australasia,9.01,231.72609,413490.0,85.8,68.2177422176747,1206562910556.58
245,Bangladesh,2016,Asia and Australasia,5.73,58.132,1053.0,35.083,51.2078039865767,265236389198.948
246,China,2016,Asia and Australasia,3.18,5585.625151,2379230.0,56.736,52.3620909629531,11233314018690.1
247,India,2016,Asia and Australasia,7.81,1161.543070205,654481.0,33.182,47.7494012899424,2294796889945.04
248,Indonesia,2016,Asia and Australasia,6.97,221.40104,11120.0,53.989,43.6417488094502,931877364033.902
249,Japan,2016,Asia and Australasia,7.99,956.720654,21265.0,91.457,69.8870573141604,5003677627544.24
250,Malaysia,2016,Asia and Australasia,6.54,137.13874,1349.0,74.84,52.5314244518403,301255332137.075
251,Mongolia,2016,Asia and Australasia,6.62,5.9351,12371.0,68.297,45.875564032704,11181350649.2247
252,New Zealand,2016,Asia and Australasia,9.26,39.964020287,4189.628417,86.4,65.6962963236026,188838342527.975
253,Pakistan,2016,Asia and Australasia,4.33,100.566,4774.0,36.234,52.747401539414,313629998960.445
254,South Korea,2016,Asia and Australasia,7.92,516.627693,8414.0,81.562,55.3586393130986,1500111596236.37
255,Vietnam,2016,Asia and Australasia,3.38,161.25212,3190.0,34.51,42.8544981993655,257096001174.075
256,Algeria,2016,Middle East and North Africa,3.56,55.82304,885.0,71.459,49.2931825299243,160034212613.438
257,Iran,2016,Middle East and North Africa,2.34,252.252,27243.0,73.88,52.5223787113108,457954614595.24
