,economy,time,NY.GDP.MKTP.CD
582,CMR,YR2008,27715142005.5704
583,CMR,YR2009,27932970297.0644
584,CMR,YR2010,27507501809.2414
585,CMR,YR2011,30630910513.0616
586,CMR,YR2012,30155062302.8443
587,CMR,YR2013,33728621190.2114
588,CMR,YR2014,36386544716.0794
589,CMR,YR2015,32210233021.5735
590,CMR,YR2016,33814337040.7804
591,CMR,YR2017,36098547058.7877
592,CMR,YR2018,39973842058.565
593,CMR,YR2019,39670976440.3158
594,COD,YR2006,14451901696.3878
595,COD,YR2007,16737071816.38
596,COD,YR2008,19788515579.0498
597,COD,YR2009,18648372544.7984
598,COD,YR2010,21565721036.3591
599,COD,YR2011,25839749198.8233
600,COD,YR2012,29306235295.3371
601,COD,YR2013,32679745036.2659
602,COD,YR2014,35909040943.885
603,COD,YR2015,37917706485.5896
604,COD,YR2016,37134801548.836
605,COD,YR2017,38019264804.5125
606,COD,YR2018,47568210020.9338
607,COD,YR2019,51775829868.7669
608,COG,YR2006,8072305030.68484
609,COG,YR2007,8782703427.96085
610,COG,YR2008,11649857662.1388
611,COG,YR2009,9723299908.19473
612,COG,YR2010,13148396205.671
613,COG,YR2011,15655383585.9887
614,COG,YR2012,17692911280.5627
615,COG,YR2013,17958720704.4596
616,COG,YR2014,17912907682.0663
617,COG,YR2015,11890259176.6829
618,COG,YR2016,10219341017.1383
619,COG,YR2017,11094823676.5914
620,COG,YR2018,13670038019.8594
621,COG,YR2019,12750338736.1661
622,COL,YR2006,161792959247.85
623,COL,YR2007,206229536757.674
624,COL,YR2008,242504150472.931
625,COL,YR2009,232468666665.153
626,COL,YR2010,286498534094.963
627,COL,YR2011,334966134865.305
628,COL,YR2012,370691143086.761
629,COL,YR2013,382093697077.685
630,COL,YR2014,381240864422.407
631,COL,YR2015,293492370228.847
632,COL,YR2016,282720100286.228
633,COL,YR2017,311866875135.576
634,COL,YR2018,334198218100.716
635,COL,YR2019,323031701210.767
636,COM,YR2006,698431794.458549
637,COM,YR2007,795673153.183435
638,COM,YR2008,915659107.761637
639,COM,YR2009,905341173.973674
640,COM,YR2010,907978731.702118
641,COM,YR2011,1023086272.69622
642,COM,YR2012,1015843491.24638
643,COM,YR2013,1116224107.17123
644,COM,YR2014,1149587659.74505
645,COM,YR2015,966029599.801322
646,COM,YR2016,1012835492.51585
647,COM,YR2017,1077439756.12224
648,COM,YR2018,1188797449.96036
649,COM,YR2019,1195019531.03671
650,CPV,YR2006,1107571459.02306
651,CPV,YR2007,1649621735.41343
652,CPV,YR2008,1959620652.50746
653,CPV,YR2009,1852334581.47534
654,CPV,YR2010,1824751459.69304
655,CPV,YR2011,2046817974.90838
656,CPV,YR2012,1913081206.32052
657,CPV,YR2013,2028910915.16446
658,CPV,YR2014,2041930125.42979
659,CPV,YR2015,1749857628.40716
660,CPV,YR2016,1849789992.74328
661,CPV,YR2017,1996741544.61549
662,CPV,YR2018,2205099509.15921
663,CPV,YR2019,2266752197.42617
664,CRI,YR2006,22715540324.3032
665,CRI,YR2007,26884700345.0342
666,CRI,YR2008,30801744881.0001
667,CRI,YR2009,30745714326.9486
668,CRI,YR2010,37658614803.2775
669,CRI,YR2011,42762613705.7835
670,CRI,YR2012,47231655433.4666
671,CRI,YR2013,50949668885.9875
672,CRI,YR2014,52016408923.9289
673,CRI,YR2015,56441920823.7632
674,CRI,YR2016,58847019584.9144
675,CRI,YR2017,60516044623.4876
676,CRI,YR2018,62420164964.6987
677,CRI,YR2019,64417670555.7821
678,CSS,YR2006,56074290119.343
679,CSS,YR2007,62328938789.3209
680,CSS,YR2008,70781391356.0356
681,CSS,YR2009,59840574173.7615
682,CSS,YR2010,64939019150.2048
683,CSS,YR2011,70074558334.331
684,CSS,YR2012,73844945660.7463
685,CSS,YR2013,75227025825.655
686,CSS,YR2014,76921753855.8063
