economy,time,IS.RRS.GOOD.MT.K6
NZL,YR2012,4768.056076
NZL,YR2013,4679.200692
NZL,YR2014,4492.652586
NZL,YR2015,4348.553709
NZL,YR2016,4189.628417
NZL,YR2017,3618.534146
NZL,YR2018,4217.0
NZL,YR2019,4545.0
OED,YR2006,11599.0
OED,YR2007,11212.0
OED,YR2008,11566.0
OED,YR2009,10326.0
OED,YR2010,10412.0
OED,YR2011,10761.0
OED,YR2012,11061.0
OED,YR2013,11177.0
OED,YR2014,11992.0
OED,YR2015,10812.0
OED,YR2016,11661.0
OED,YR2017,11653.0
OED,YR2018,11776.0
OED,YR2019,13186.5
PAK,YR2006,5907.0
PAK,YR2007,5454.0
PAK,YR2008,6187.0
PAK,YR2011,1757.0
PAK,YR2012,402.481
PAK,YR2013,419.241
PAK,YR2014,1090.0
PAK,YR2015,3301.0
PAK,YR2016,4774.0
PAK,YR2017,5031.0
PAK,YR2018,8080.0
POL,YR2006,53427.0
POL,YR2007,54253.0
POL,YR2008,52043.0
POL,YR2009,43554.0
POL,YR2010,48795.0
POL,YR2011,53746.0
POL,YR2012,48903.0
POL,YR2013,50881.0
POL,YR2014,50073.0
POL,YR2015,50602.9
POL,YR2016,50650.0
POL,YR2017,54797.0
POL,YR2018,59388.0
POL,YR2019,54584.0
PRT,YR2006,2529.0
PRT,YR2007,2586.0
PRT,YR2008,2549.0
PRT,YR2009,2174.0
PRT,YR2010,2313.0
PRT,YR2011,2322.0
PRT,YR2012,2421.0
PRT,YR2013,2290.0
PRT,YR2014,2438.0
PRT,YR2015,2661.0
PRT,YR2016,2622.0
PRT,YR2017,2742.0
PRT,YR2018,2863.0
PRT,YR2019,2476.0
PST,YR2006,11599.0
PST,YR2007,11212.0
PST,YR2008,11915.5
PST,YR2009,9919.0
PST,YR2010,10412.0
PST,YR2011,10761.0
PST,YR2012,11061.0
PST,YR2013,11812.0
PST,YR2014,12313.0
PST,YR2015,12431.0
PST,YR2016,12447.0
PST,YR2017,11653.0
PST,YR2018,11776.0
PST,YR2019,13922.84
ROU,YR2006,15791.0
ROU,YR2007,15757.0
ROU,YR2008,15236.0
ROU,YR2009,11088.0
ROU,YR2010,12375.0
ROU,YR2011,14719.0
ROU,YR2012,13472.0
ROU,YR2013,12941.0
ROU,YR2014,12264.0
ROU,YR2015,13673.0
ROU,YR2016,13535.0
ROU,YR2017,13782.0
ROU,YR2018,13076.0
ROU,YR2019,13312.0
RUS,YR2006,1950830.0
RUS,YR2007,2090337.0
